Model,Trial,Seed,Global_Best_Fitness,PS,RS,NPV,F1S,F2S,SS,CKS,GMS,AUC,LS,AS
GA,10,28,0.7459282263630089,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
GA,11,30,0.7282485875706215,0.5125,0.513550135501355,0.5125,0.5126705653021443,0.5131074168797954,0.513550135501355,0.40835182862105573,1.2142945993051348,0.3462059620596206,1.0586043360433606,0.7
GA,12,32,0.7365551992670636,0.675990675990676,0.7046070460704608,0.675990675990676,0.6875,0.6969919295671312,0.7046070460704608,0.6184072396767717,1.0231543159083225,0.589430894308943,1.8098432732579073,0.8
GA,13,35,0.7622710283260742,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.509681444365198,1.1125928950240838,0.43902439024390244,1.446449423843832,0.76
GA,14,37,0.7210726963199072,0.5871212121212122,0.5623306233062331,0.5871212121212122,0.5686274509803921,0.5637591575091575,0.5623306233062331,0.492456602851477,1.2557091478525535,0.3814363143631436,1.438675371602201,0.78
GA,15,39,0.7430555555555556,0.5614617940199336,0.5501355013550135,0.5614617940199336,0.5535714285714286,0.551061678463094,0.5501355013550135,0.4698421942586839,1.2454222107329915,0.37262872628726285,1.304144270678587,0.76
GA,16,40,0.7384070158769129,0.6160714285714286,0.6056910569105691,0.6160714285714286,0.6102055279943303,0.6073477493380406,0.6056910569105691,0.5332676189951848,1.1195731297120617,0.44918699186991873,1.56431475029036,0.78
GA,17,41,0.7398208644139392,0.6160714285714286,0.6056910569105691,0.6160714285714286,0.6102055279943303,0.6073477493380406,0.6056910569105691,0.5332676189951848,1.1195731297120617,0.44918699186991873,1.56431475029036,0.78
GA,18,42,0.7516872805008399,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
GA,19,45,0.7425541850320612,0.6375,0.6490514905149052,0.6375,0.6426250812215725,0.6463128729752771,0.6490514905149052,0.5661246743221076,1.0537275060412907,0.5142276422764227,1.644647696476965,0.78
JADE,0,7,0.7367277992277992,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
JADE,1,8,0.7565755790114583,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
JADE,2,11,0.740970261899161,0.5594405594405594,0.5691056910569106,0.5594405594405594,0.5625,0.5659784089718058,0.5691056910569106,0.4657701355474805,1.0987237551453592,0.4186991869918699,1.2735232247427368,0.72
