Model,Trial,Seed,Global_Best_Fitness,PS,RS,NPV,F1S,F2S,SS,CKS,GMS,AUC,LS,AS
ARO,1,8,0.6504644764541037,0.6083333333333334,0.606372427473345,0.6083333333333334,0.6073059360730594,0.60673475075649,0.606372427473345,0.5063384505588602,1.0599041449605688,0.46683610215720306,1.3578518885858335,0.7054794520547946
ARO,2,11,0.6401396799638671,0.6103513006167873,0.6020332258864369,0.6103513006167873,0.6054054054054054,0.6032062313196268,0.6020332258864369,0.5067202097957803,1.07708331627605,0.4572278700719068,1.3704279463798827,0.7123287671232876
ARO,3,15,0.6442223500175054,0.6452020202020202,0.6425737664269775,0.6452020202020202,0.6438356164383561,0.6430661729574773,0.6425737664269775,0.5522604551580359,1.0432571906361634,0.5109719811554674,1.4796383122071195,0.7328767123287672
ARO,4,20,0.6413041728052361,0.633976833976834,0.6290602529134639,0.633976833976834,0.6313131313131314,0.6299137870750542,0.6290602529134639,0.537347237066481,1.0527496608226115,0.4930572774609472,1.4449505862349898,0.726027397260274
ARO,5,21,0.6415704365366052,0.6178728070175439,0.6066203818497397,0.6178728070175439,0.6109702996035614,0.6080808080808081,0.6066203818497397,0.5146607977897061,1.0793104826196998,0.46125712868832136,1.3977805364514684,0.7191780821917808
ARO,6,22,0.6517916622359455,0.6551724137931034,0.6338953632531614,0.6551724137931034,0.6416583747927032,0.6363987949845302,0.6338953632531614,0.5548646564920069,1.072067498191469,0.4917555169848748,1.5291944902827534,0.7465753424657534
ARO,7,23,0.648309653655494,0.5884297520661157,0.5663277956855939,0.5884297520661157,0.5699859747545581,0.5664117225848632,0.5663277956855939,0.4723785649467636,1.1730541540100847,0.3997024547483262,1.3094712424153625,0.7123287671232876
ARO,8,24,0.6576804599753299,0.6083333333333334,0.606372427473345,0.6083333333333334,0.6073059360730594,0.60673475075649,0.606372427473345,0.5063384505588602,1.0599041449605688,0.46683610215720306,1.3578518885858335,0.7054794520547946
ARO,9,27,0.655319786788366,0.6223739495798319,0.6155467393999504,0.6223739495798319,0.6185074246383278,0.6166278976497956,0.6155467393999504,0.5221705210357684,1.0639182579852426,0.475142573766427,1.4086009434768205,0.7191780821917808
ARO,10,28,0.6507843930379141,0.6132183908045977,0.5976940242995289,0.6132183908045977,0.6029187396351576,0.599250936329588,0.5976940242995289,0.5067419166533049,1.097557887173764,0.447123729233821,1.3861159799470462,0.7191780821917808
ARO,11,30,0.6435750154992838,0.6578947368421053,0.6428217208033722,0.6578947368421053,0.648924416715409,0.6449494949494949,0.6428217208033722,0.5620109638590031,1.0582863351629856,0.5058889164393752,1.5328409046419669,0.7465753424657534
ARO,12,32,0.6567362608025326,0.5848527349228612,0.57500619885941,0.5848527349228612,0.5782563025210083,0.5759462227134008,0.57500619885941,0.47495592547043075,1.1111552943249898,0.42139846268286635,1.2878639026071377,0.6986301369863014
ARO,13,35,0.6359379128305185,0.6032051282051282,0.5798413091991074,0.6032051282051282,0.5850835239481528,0.5807078475150913,0.5798413091991074,0.4895481712398655,1.1451516254297855,0.418113067195636,1.359337071722393,0.7191780821917808
ARO,14,37,0.6437100798685083,0.6495038884419415,0.6382345648400695,0.6495038884419415,0.6429858429858429,0.6399380088357536,0.6382345648400695,0.5536992374342774,1.0564295158418313,0.5016117034465659,1.501855601717581,0.7397260273972602
ARO,15,39,0.64167547675696,0.578544061302682,0.5660798413091991,0.578544061302682,0.5693215339233039,0.5667596367017091,0.5660798413091991,0.46622568260887715,1.1362522644643667,0.40714108604016863,1.2692661025467098,0.6986301369863014
ARO,16,40,0.6377211012232098,0.6215738284703802,0.6022811802628316,0.6215738284703802,0.608474121748458,0.6040498155924029,0.6022811802628316,0.5147506205535247,1.1000191692661696,0.45102901066203815,1.4167814908086973,0.726027397260274
ARO,17,41,0.6454287797984525,0.5798076923076924,0.561740639722291,0.5798076923076924,0.5648436958480627,0.5618436285454395,0.561740639722291,0.4646480820320541,1.169791553571561,0.3961691048847012,1.2778724560834651,0.7054794520547946
ARO,18,42,0.6432100307100307,0.6000589448865311,0.5841805107860154,0.6000589448865311,0.588897827835881,0.5854047261470562,0.5841805107860154,0.49048815158120096,1.1165460472162416,0.42896107116290605,1.3430237966777034,0.7123287671232876
ARO,19,45,0.6500632085509354,0.633976833976834,0.6290602529134639,0.633976833976834,0.6313131313131314,0.6299137870750542,0.6290602529134639,0.537347237066481,1.0527496608226115,0.4930572774609472,1.4449505862349898,0.726027397260274
AVOA,0,7,0.6364462850627358,0.6258064516129033,0.6112075378130424,0.6258064516129033,0.6165966386554622,0.6129535937705948,0.6112075378130424,0.5226872049731188,1.0815457152108525,0.46528638730473604,1.4267998688241363,0.726027397260274
AVOA,1,8,0.6237968111412637,0.5862590799031477,0.5706669972725019,0.5862590799031477,0.5745171128431041,0.5714124548736463,0.5706669972725019,0.47391343756605536,1.1392174062219182,0.41079841309199105,1.297254820851462,0.7054794520547946
AVOA,2,11,0.6398126808453061,0.564297520661157,0.5482271262087776,0.564297520661157,0.5495091164095371,0.547472525191727,0.5482271262087776,0.4472537347061333,1.2034052520966179,0.37788246962558886,1.2250174080365905,0.6986301369863014
AVOA,3,15,0.6291220818999306,0.6215738284703802,0.6022811802628316,0.6215738284703802,0.608474121748458,0.6040498155924029,0.6022811802628316,0.5147506205535247,1.1000191692661696,0.45102901066203815,1.4167814908086973,0.726027397260274
AVOA,4,20,0.6323864175248073,0.6171802054154996,0.5933548227126209,0.6171802054154996,0.5997807017543859,0.5948519948519948,0.5933548227126209,0.5063678679744503,1.121951381811314,0.4365236796429457,1.4059031662917252,0.726027397260274
AVOA,5,21,0.6362817146650181,0.6103513006167873,0.6020332258864369,0.6103513006167873,0.6054054054054054,0.6032062313196268,0.6020332258864369,0.5067202097957803,1.07708331627605,0.4572278700719068,1.3704279463798827,0.7123287671232876
AVOA,6,22,0.6352368589048917,0.6551724137931034,0.6338953632531614,0.6551724137931034,0.6416583747927032,0.6363987949845302,0.6338953632531614,0.5548646564920069,1.072067498191469,0.4917555169848748,1.5291944902827534,0.7465753424657534
AVOA,7,23,0.6408780895118039,0.6378837719298245,0.624721051326556,0.6378837719298245,0.6299473581594852,0.6265151515151517,0.624721051326556,0.5383358808243546,1.0679740704178962,0.4834490453756509,1.4653107205467175,0.7328767123287672
AVOA,8,24,0.6332371234166504,0.6430887120542294,0.6203818497396479,0.6430887120542294,0.6280504156610353,0.6226949050377499,0.6203818497396479,0.5390130895258485,1.0860385712084222,0.4733449045375651,1.4905391849396912,0.7397260273972602
AVOA,9,27,0.6558911319784375,0.6495038884419415,0.6382345648400695,0.6495038884419415,0.6429858429858429,0.6399380088357536,0.6382345648400695,0.5536992374342774,1.0564295158418313,0.5016117034465659,1.501855601717581,0.7397260273972602
AVOA,10,28,0.6247103789493026,0.633976833976834,0.6290602529134639,0.633976833976834,0.6313131313131314,0.6299137870750542,0.6290602529134639,0.537347237066481,1.0527496608226115,0.4930572774609472,1.4449505862349898,0.726027397260274
AVOA,11,30,0.6409747446983723,0.6103513006167873,0.6020332258864369,0.6103513006167873,0.6054054054054054,0.6032062313196268,0.6020332258864369,0.5067202097957803,1.07708331627605,0.4572278700719068,1.3704279463798827,0.7123287671232876
AVOA,12,32,0.6230578231865888,0.6000589448865311,0.5841805107860154,0.6000589448865311,0.588897827835881,0.5854047261470562,0.5841805107860154,0.49048815158120096,1.1165460472162416,0.42896107116290605,1.3430237966777034,0.7123287671232876
AVOA,13,35,0.6360469358412181,0.6178728070175439,0.6066203818497397,0.6178728070175439,0.6109702996035614,0.6080808080808081,0.6066203818497397,0.5146607977897061,1.0793104826196998,0.46125712868832136,1.3977805364514684,0.7191780821917808
AVOA,14,37,0.6299977553140816,0.6178728070175439,0.6066203818497397,0.6178728070175439,0.6109702996035614,0.6080808080808081,0.6066203818497397,0.5146607977897061,1.0793104826196998,0.46125712868832136,1.3977805364514684,0.7191780821917808
AVOA,15,39,0.6596642399221916,0.6378837719298245,0.624721051326556,0.6378837719298245,0.6299473581594852,0.6265151515151517,0.624721051326556,0.5383358808243546,1.0679740704178962,0.4834490453756509,1.4653107205467175,0.7328767123287672
